File,Section,Flags,Clauses
KTR Komplementär-GmbH.jsonl,"1
Firma, Sitz, Dauer Geschaftsjahr 
(1)
Die Firma der Gesellschaft lautet:
KTR Komplementar-GmbH 
(2)
Sitz der Gesellschaft ist Hamburg.
(3)
Die Gesellschaft ist fiir unbestimmte Dauer errichtet.
( 4)
Das Geschaftsjahr ist das Kalenderjahr.","RED FLAG, RED FLAG, Orange Flag, Orange Flag, RED FLAG, RED FLAG, Orange Flag, Orange Flag",
KTR Komplementär-GmbH.jsonl,"2
Gegenstand des Unternehmens 
Gegenstand des Unternehmens ist ausschliefWch die Beteiligung als pers6nlich haftende Gesell­
schafterin an sowie die Geschaftsfiihrung und Vertretung der KTR GmbH & Co. KG mit Sitz in 
Hamburg.","RED FLAG, RED FLAG, Orange Flag, RED FLAG",
KTR Komplementär-GmbH.jsonl,"3
Stammkapital 
(1)
Das Stammkapital der Gesellschaft betragt EUR 25.000 (in Worten: Euro fiinfundzwanzig­
tausend) und ist eingeteilt in 25.000 (in Worten: fiinfundzwanzigtausend) Geschii.ftsantei­
le im Nennbetrag von jeweils EUR 1,00.
(2)
Hiervon iibernimmt Herr Kjell Fischer, geboren am 28. Mai 1983, wohnhaft in Hamburg,
samtliche 25.000 (in Worten: fiinfundzwanzigtausend) Geschaftsanteile mit den laufenden
Nummern 1 bis 25.000 im Nennbetrag von jeweils EUR 1,00.
(3)
Jeder Geschaftsanteil ist sofort in H6he von 50 % seines Nennbetrages in bar einzuzahlen.
Der Restbetrag ist auf Anforderung der Gesellschafterversammlung fallig.
698401Sv2 

Seite  2 von 6","RED FLAG, RED FLAG, Orange Flag",
KTR Komplementär-GmbH.jsonl,"4 
Geschäftsführung 
(1)
Die  Gesellschaft hat einen oder mehrere Geschäftsführer. 
(2)
Bei Maßnahmen  der  Geschäftsführung für  die  KTR GmbH &  Co. KG  haben  die  Geschäfts-
führer neben dem Gesetz, diesem Gesellschaftsvertrag, einer eventuellen Geschäftsord-
nung für  die  Geschäftsführung und Weisungen  der  Gesellschafterversammlung zusätzlich 
auch  die  sich aus dem Gesellschaftsvertrag  der  KTR GmbH &  Co. KG  ergebenden Bindun-
gen  der  Gesellschaft als geschäftsführende persönlich haftende Gesellschafterin  der  KTR 
GmbH &  Co. KG  zu beachten. 
(3) 
Die  Geschäftsführung bedarf zu allen Maßnahmen und Geschäften,  die  über  den  gewöhnli-
chen Geschäftsbetrieb  der  Gesellschaft hinausgehen oder mit denen ein außergewöhnli-
ches wirtschaftliches Risiko verbunden ist,  der  vorherigen Zustimmung  der  Gesellschaf-
terversammlung. Zustimmungsbedürftige Geschäfte und Maßnahmen sind insbesondere: 
a)
Aufstellung  des  jährlichen Investitions- und Finanzplans für  die  Gesellschaft, 
b)
Erwerb und Veräußerung, Pacht und Verpachtung  von  Unternehmen jeglicher  Art 
oder Teilen davon, 
c)
Der  Erwerb,  die  wesentliche Erweiterung sowie  die  Veräußerung  von  Beteiligungen 
an  anderen Unternehmen, 
d)
Errichtung und Auflösung  von  Zweigniederlassungen, 
e)
Rechtsgeschäfte über  den  Erwerb und  die  Veräußerung  von  Grundstücken, 
f)
Belastung  von  Grundstücken und grundstücksgleichen Rechten, 
g)
Übernahme  von  Bürgschaften und Eingehen  von  Haftungen jeglicher  Art,  soweit die-
se nicht mit dem laufenden Geschäftsverkehr zusammenhängen, 
h)
Aufnahme  von  Krediten außerhalb  des  gewöhnlichen Geschäftsverkehrs, 
i)
Erteilung und Widerruf  von  Prokuren und Handlungsvollmachten, 
j)
Abschluss, Änderung und Beendigung  von  Organschaftsverträgen sowie Betriebs-
übernahme- und Betriebsüberlassungsverträgen jeglicher  Art, 

Seite  3 von 6 
k) 
Investitionen ab einem Betrag  von  EUR  25.000  (ohne USt.) im Einzelfall, wenn sie  in 
dem genehmigten jährlichen Investitionsplan nicht enthalten sind, 
1) 
die  Neuaufnahme oder Aufgabe  von  Betätigungsfeldern, soweit  dies  nicht ohnehin 
eine Änderung  des  Unternehmensgegenstandes ist. 
(4) 
Die  vorstehenden Regelungen gelten entsprechend für Liquidatoren. Im Liquidationsfall 
bleiben  die  Geschäftsführer mit ihrer dann bestehenden konkreten Vertretungsbefugnis 
im Amt, wenn  die  Gesellschafterversammlung nichts anderes beschließt.","Orange Flag, Orange Flag, Orange Flag, Orange Flag, Orange Flag, Green Flag, Green Flag, Green Flag, Green Flag, Orange Flag",
KTR Komplementär-GmbH.jsonl,"5 
Vertretung 
(1)
Die  Gesellschaft wird, wenn nur ein Geschäftsführer bestellt ist, durch diesen vertreten. 
Sind  mehrere Geschäftsführer bestellt, so wird  die  Gesellschaft durch zwei Geschäftsfüh-
rer gemeinschaftlich oder durch einen Geschäftsführer gemeinsam mit einem Prokuristen 
vertreten. 
(2)
Die  Gesellschafterversammlung kann unabhängig  von der  Zahl  der  bestellten Geschäfts-
führer jederzeit einem, mehreren oder allen Geschäftsführern Einzelvertretungsbefugnis 
und/oder Befreiung  von den  Beschränkungen  des","Orange Flag, Orange Flag",
KTR Komplementär-GmbH.jsonl,"181  BGB erteilen. Für Geschäfte mit 
der  KTR GmbH &  Co. KG  sind  die  Geschäftsführer stets  von den  Beschränkungen  des",,
KTR Komplementär-GmbH.jsonl,"181 
Alt.  2  BGB befreit.",,
KTR Komplementär-GmbH.jsonl,"6 
Gesellschafterbeschlüsse 
(1)
Gesellschafterbeschlüsse werden  in der  Regel  in der  Gesellschafterversammlung gefasst. 
Wenn sämtliche Gesellschafter sich damit einverstanden erklären, können Beschlüsse 
auch außerhalb  von  Gesellschafterversammlungen im schriftlichen Umlaufverfahren oder 
durch Abgabe  der  Stimmen  in  Textform (","Green Flag, Green Flag, Orange Flag",
KTR Komplementär-GmbH.jsonl,"126b  BGB), mündlich, fernmündlich oder im 
Wege  der  elektronischen Kommunikation (z.B. Videokonferenz) oder  in  einer Kombinati-
on  der  vorgenannten Kommunikationswege gefasst werden.  Dies  gilt auch dann, wenn 
dieser Gesellschaftsvertrag eine Gesellschafterversammlung vorsieht. 
(2)
Den  Vorsitz  in der  Gesellschafterversammlung führt  der  Gesellschafter Kjell  Fischer.  Nach 
seinem Ausscheiden aus  der  Gesellschaft führt  der  Gesellschafter  den  Vorsitz,  der den 
Vorsitz  der  Gesellschafterversammlung  der  KTR GmbH &  Co. KG  innehat.  In  Abwesenheit 

Seite  4 von 6 
des  Vorsitzenden wählt  die  Gesellschafterversammlung einen anwesenden Gesellschafter 
zum Vorsitzenden. 
Jeder Euro eines Gesellschaftsanteils gewährt eine Stimme. 
(4)
Die  Gesellschafter beschließen mit einfacher Mehrheit  der  abgegebenen Stimmen, wenn 
nicht das Gesetz oder dieser Gesellschaftsvertrag eine höhere Mehrheit vorschreibt. 
Stimmenthaltungen gelten als nicht abgegebene Stimmen. 
(5) 
Über jede Gesellschafterversammlung ist zu Nachweiszwecken, nicht als Wirksamkeitsvo-
raussetzung,  von  dem Vorsitzenden eine Niederschrift anzufertigen,  die  sämtliche  in der 
Gesellschafterversammlung gefassten Beschlüsse mit ihrem Wortlaut enthalten muss. Eine 
Abschrift  der  Niederschrift ist allen Gesellschaftern durch  die  Geschäftsführung zu über-
mitteln. Das Gleiche gilt für außerhalb  von  Gesellschafterversammlungen gefasste Gesell-
schafterbeschlüsse. 
(6)
Einwendungen gegen  die  Wirksamkeit eines Gesellschafterbeschlusses können nur inner-
halb einer Ausschlussfrist  von  einem Monat ab Zugang  des  betreffenden Protokolls durch 
Nichtigkeits- bzw. Anfechtungsklage geltend gemacht werden. 
7 
Jahresabschluss, Gewinnverteilung, Entnahmen und Sachausschüttungen 
(1) 
Der  Jahresabschluss (Bilanz, Gewinn- und Verlustrechnung nebst Anhang) sowie ein etwa-
iger Lagebericht sind alljährlich innerhalb  der  gesetzlichen Fristen  von den  Geschäftsfüh-
rern aufzustellen und  der  Gesellschafterversammlung zur Feststellung vorzulegen. 
Für  den  Jahresabschluss,  die  Gewinnverteilung und  die  Gewinnverwendung gelten  die 
gesetzlichen Vorschriften, insbesondere","Orange Flag, Orange Flag, Orange Flag, Orange Flag, Orange Flag, Orange Flag, Orange Flag, Green Flag, Green Flag, Green Flag, Orange Flag, Green Flag, Green Flag",
KTR Komplementär-GmbH.jsonl,"264  HGB,",,
KTR Komplementär-GmbH.jsonl,,,
KTR Komplementär-GmbH.jsonl,"29, 42a  GmbHG. 
Die  Gesellschafterversammlung kann jederzeit auch über Entnahmen, Sachentnahmen 
und/oder Sachausschüttungen beschließen.",Orange Flag,
KTR Komplementär-GmbH.jsonl,"8 
Verfügung über Geschäftsanteile 
Die  Verfügung über Geschäftsanteile oder Teile  von  Geschäftsanteilen, insbesondere  die  Abtre-
tung, Verpfändung, Nießbrauchbestellung oder sonstige Belastung  von  Geschäftsanteilen, bedarf 
zu ihrer Wirksamkeit  der  Zustimmung  der  Gesellschafterversammlung.  Die  Gesellschafterver-
(3) 
(2) 
(3) 

Seite  5 von 6 
sammlung hat über  die  Zustimmung durch Beschluss zu entscheiden. Davon ausgenommen sind 
Verfügungen durch  den  Gesellschafter Kjell  Fischer, die  stets zustimmungsfrei sind.",Orange Flag,
KTR Komplementär-GmbH.jsonl,"9 
Vererbung  von  Geschäftsanteilen 
(1)
Die  Geschäftsanteile gehen im Todesfall auf  die  Erben über. 
(2)
Gehen  die  Geschäftsanteile auf mehrere Erben oder auf eine Erbengemeinschaft über, so 
ruht das Stimmrecht  der  Erben, bis sie einen Bevollmächtigten benannt haben und  der  Be-
vollmächtigte eine  von  allen Erben unterzeichnete Vollmacht vorlegt,  die  ihn zur einheitli-
chen Wahrnehmung  der  Mitgliedschaftsrechte  der  Erben ermächtigt.",,
KTR Komplementär-GmbH.jsonl,"10 
Einziehung 
(1) 
Geschäftsanteile können mit Zustimmung  des  betroffenen Gesellschafters jederzeit einge-
zogen werden. 
Ohne Zustimmung ist  die  Einziehung jedes Geschäftsanteils eines Gesellschafters zulässig: 
a)
wenn ein Gesellschafter eine eidesstattliche Versicherung gemäß","Green Flag, Green Flag",
KTR Komplementär-GmbH.jsonl,"807  ZPO abgibt, 
b)
wenn über sein Vermögen ein Insolvenzverfahren eröffnet wurde oder wenn  die  Er-
öffnung eines solchen Verfahrens mangels  Masse  abgelehnt wurde, 
c)
wenn  der  Gläubiger eines Gesellschafters dessen Geschäftsanteil pfändet oder sonst 
die  Zwangsvollstreckung  in den  Geschäftsanteil betreibt, 
d)
wenn ein Gesellschafter nicht mehr als Kommanditist  an der  KTR GmbH &  Co. KG 
beteiligt ist. 
(2) 
Steht  der  Anteil mehreren Berechtigten zu, genügt  es,  wenn  die  Einziehungsvoraussetzun-
gen nur bei einem  von  ihnen vorliegen. 
(3) 
Über  die  Einziehung beschließt  die  Gesellschafterversammlung.  Die  Einziehung wird mit 
Zugang  des  Einziehungsbeschlusses  an den  betreffenden Gesellschafter wirksam. Erfolgt 
die  Einziehung mit Zustimmung  des  betroffenen Gesellschafters, so bleibt dessen Stimm-
recht unberührt.  In  allen übrigen Fällen hat  der  betroffene Gesellschafter im Zeitraum ab 

Seite 6 von 6 
der Beschlussfassung iiber die Einziehung zwar kein Stimmrecht, ist jedoch berechtigt, an 
Gesellschafterversammlungen teilzunehmen. 
(4)
Anstelle der Einziehung kann die Gesellschafterversammlung beschliegen, dass der be­
troffene Gesellschafter seine Geschaftsanteile an einen van der Gesellschaft zu benennen­
den Dritten oder - bei Vorliegen der gesetzlichen Voraussetzungen - an die Gesellschaft
selbst abzutreten hat. In diesem Fall ruht das Stimmrecht aus den betroffenen Geschafts­
anteilen bis zum Wirksamwerden der Abtretung.","Green Flag, Orange Flag, Green Flag, Green Flag, Green Flag, Green Flag, Orange Flag",
KTR Komplementär-GmbH.jsonl,"11
Wettbewerbsverbot 
Den Gesellschaftern und Geschaftsfiihrern kann Befreiung vom Wettbewerbsverbot erteilt wer­
den. Ober Art und Umfang der Befreiung beschliegen die Gesellschafter.",,
KTR Komplementär-GmbH.jsonl,"12
Bekanntmachungen 
Bekanntmachungen der Gesellschaft erfolgen ausschJieglich im Bundesanzeiger.",,
KTR Komplementär-GmbH.jsonl,"13
Grfindungsaufwand 
Die Kosten der Griindung (Kosten fur Notar, Registergericht, Veroffentlichung) tragt die Gesell­
schaft bis zu einem Betrag von EUR 2.500.","Green Flag, Green Flag",
KTR Komplementär-GmbH.jsonl,"14
Salvatorische Klausel 
Sollte eine Bestimmung dieses Gesellschaftsvertrags ganz oder teilweise unwirksam oder un­
durchfiihrbar sein oder werden, so wird dadurch die Wirksamkeit der iibrigen Bestimmungen 
dieses Gesellschaftsvertrags nicht beriihrt. Das Gleiche gilt, wenn und soweit sich in diesem Ge­
sellschaftsvertrag eine Lucke herausstellen sollte. Anstelle der unwirksamen oder undurchfiihr­
baren Bestimmung oder zur Ausfiillung der Lucke soll diejenige angemessene Regelung gelten, 
die, soweit rechtlich moglich, dem am nachsten kommt, was die Vertragsparteien wirtschaftlich 
gewollt haben oder nach dem Sinn und Zweck dieses Gesellschaftsvertrags gewollt hatten, so­
fern sie bei Abschluss dieses Gesellschaftsvertrags oder der spateren Aufnahme der Bestimmung 
diesen Punkt bedacht hatten. Die Gesellschafter verpflichten sich, eine entsprechende Ersatz­
oder Erganzungsregel in der erforderlichen Form zu beschliegen. Der Rechtsgedanke des",Green Flag,
KTR Komplementär-GmbH.jsonl,"139 
BGB findet keine Anwendung, auch nicht in Form einer Beweislastregel.",,
